Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FGL1750S5FY,3C08F60845C0,AP1108,3702i,1,ap name,3C08F60845C0,AP1108-3702i,,HOME PERMANENT,,,
AIR-CAP3702i-E-K9,FGL1750S1MC,7CAD74FFCFEA,AP1109,3702i,1,ap name,7CAD74FFCFEA,AP1109-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G0,3C08F6084654,AP1110,3702i,1,ap name,3C08F6084654,AP1110-3702i,1,,1,,
AIR-CAP3702i-E-K9,FGL1750S5G5,7CAD74FFAF36,AP1111,3702i,1,ap name,7CAD74FFAF36,AP1111-3702i,,,1,,
AIR-CAP3702i-E-K9,FGL1751S6T0,BC166509CCA4,AP1112,3702i,1,ap name,BC166509CCA4,AP1112-3702i,1,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6SX,BC166509CCDC,AP1113,3702i,1,ap name,BC166509CCDC,AP1113-3702i,1,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6SU,B83861138544,AP1114,3702i,1,ap name,B83861138544,AP1114-3702i,,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6SZ,BC166509CA80,AP1115,3702i,1,ap name,BC166509CA80,AP1115-3702i,1,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6ST,B8386118A7DC,AP1116,3702i,1,ap name,B8386118A7DC,AP1116-3702i,,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6TE,B838611384D0,AP1117,3702i,1,ap name,B838611384D0,AP1117-3702i,1,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6TC,BC166509CD18,AP1118,3702i,1,ap name,BC166509CD18,AP1118-3702i,,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6TF,B83861138438,AP1119,3702i,1,ap name,B83861138438,AP1119-3702i,,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6TG,B83861138568,AP1120,3702i,1,ap name,B83861138568,AP1120-3702i,,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FGL1751S6TK,B8386118AA20,AP1121,3702i,1,ap name,B8386118AA20,AP1121-3702i,1,,1,From AMS Silvano,BU PVT units
AIR-CAP3702i-E-K9,FCZ1814D1E1,D072DC99BB1C,AP1122,3702i,1,ap name,D072DC99BB1C,AP1122-3702i,1,,1,From Maurijn,seed units
AIR-CAP3702i-E-K9,FCZ1814D1DY,6412253E7DF0,AP1123,3702i,1,ap name,6412253E7DF0,AP1123-3702i,1,,1,From Maurijn,seed units
AIR-CAP3702i-E-K9,FCZ1814D1E4,D072DC5BE938,AP1124,3702i,1,ap name,D072DC5BE938,AP1124-3702i,1,,1,From Maurijn,seed units
AIR-CAP3702i-E-K9,FCZ1814D1E3,7426ACCF6A58,AP1125,3702i,1,ap name,7426ACCF6A58,AP1125-3702i,1,,1,From Maurijn,seed units
AIR-CAP3702i-E-K9,FGL1808S5DT,7426AC4F9C70,AP1126,3702i,1,ap name,7426AC4F9C70,AP1126-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DY,7426AC68F938,AP1127,3702i,1,ap name,7426AC68F938,AP1127-3702i,1,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5E2,7426AC4F9C08,AP1128,3702i,1,ap name,7426AC4F9C08,AP1128-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DK,7426AC4F9E48,AP1129,3702i,1,ap name,7426AC4F9E48,AP1129-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DL,18E728CE5A28,AP1130,3702i,1,ap name,18E728CE5A28,AP1130-3702i,1,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5E5,7426AC68F730,AP1131,3702i,1,ap name,7426AC68F730,AP1131-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DQ,7426AC50B5A0,AP1132,3702i,1,ap name,7426AC50B5A0,AP1132-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DS,7426AC50C8A8,AP1133,3702i,1,ap name,7426AC50C8A8,AP1133-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5E6,7426AC68F5DC,AP1134,3702i,1,ap name,7426AC68F5DC,AP1134-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DR,7426AC4F95EC,AP1135,3702i,1,ap name,7426AC4F95EC,AP1135-3702i,1,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5E4,18E728CE5AA0,AP1136,3702i,1,ap name,18E728CE5AA0,AP1136-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808X1FW,18E72843B0A8,AP1137,3702i,1,ap name,18E72843B0A8,AP1137-3702i,1,,1,From Sujit,my seed units GSMA replacement
