Model,Serial Number,MAC,Device Name,,,,Mac address,AP Name,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,CL 2017 Audit
AIR-CAP3702E-E-K9,FGL1750S7PM,BC1665093D8C,AP1256,3702e,1,ap name,BC1665093D8C,AP1256-3702e,,,,,,,,,,,,AP1256-3702e,
AIR-CAP3702E-E-K9,FCZ175180SU,BC1665094020,AP1257,3702e,1,ap name,BC1665094020,AP1257-3702e,,,,,,,,,,,,AP1257-3702e,
AIR-CAP3702E-E-K9,FCZ175180SP,3C08F66CF5A8,AP1258,3702e,1,ap name,3C08F66CF5A8,AP1258-3702e,,,,,,,,,,,,AP1258-3702e,
AIR-CAP3702E-E-K9,FCZ175180SH,3C08F66D0314,AP1259,3702e,1,ap name,3C08F66D0314,AP1259-3702e,,,,,,,,,,,,AP1259-3702e,
AIR-CAP3702E-E-K9,FCZ175180SR,3C08F66CF9B8,AP1260,3702e,1,ap name,3C08F66CF9B8,AP1260-3702e,,,,,,,,,,,,AP1260-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NC,7CAD74FF6C1A,AP1261,3702e,1,ap name,7CAD74FF6C1A,AP1261-3702e,1,,1,,,1,1,,,,1,AP1261-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NX,7CAD74FF6E62,AP1262,3702e,1,ap name,7CAD74FF6E62,AP1262-3702e,,,,,,,,,,,,AP1262-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NJ,7CAD74FF64DE,AP1263,3702e,1,ap name,7CAD74FF64DE,AP1263-3702e,,,,,,,,,,,,AP1263-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NT,7CAD74FF629E,AP1264,3702e,1,ap name,7CAD74FF629E,AP1264-3702e,1,,1,,,1,1,,,,1,AP1264-3702e,1
AIR-CAP3702E-E-K9,FCZ175180S5,BC1665094028,AP1265,3702e,1,ap name,BC1665094028,AP1265-3702e,,,,,,,,,,,,AP1265-3702e,
AIR-CAP3702E-E-K9,FCZ175180ST,3C08F66CF814,AP1266,3702e,1,ap name,3C08F66CF814,AP1266-3702e,,,,,,,,,,,,AP1266-3702e,
AIR-CAP3702E-E-K9,FCZ175180SM,BC1665093F5C,AP1267,3702e,1,ap name,BC1665093F5C,AP1267-3702e,,,,,,,,,,,,AP1267-3702e,
